author_cluster_id	author_cluster_label	cluster_annotation_mapped	module	units	mean_score	sd_score	median_score	q25_score	q75_score
14	UNRESOLVED	FALSE	patterning_arealization	128	-0.555448065959836	0.0589524541224349	-0.567894372232094	-0.595322924179202	-0.536931668188557
0	iSVZ	TRUE	patterning_arealization	307	0.0369848455494766	0.352291646868335	-0.0474235767759081	-0.194140390110899	0.148003246649999
4	oSVZ-2	TRUE	patterning_arealization	265	-0.304619814886937	0.162564813054102	-0.325185024992157	-0.404544289531519	-0.243459762087847
6	oSVZ-L1	TRUE	patterning_arealization	234	-0.191521440891763	0.203469846192208	-0.238614697995894	-0.324549020393681	-0.0769940871133683
10	L4-V1	TRUE	patterning_arealization	158	0.145684276368601	0.249719647877437	0.112812653888538	-0.0351962101764876	0.28047382339274
9	L5/6-V1	TRUE	patterning_arealization	162	-0.217537096619444	0.209456873741617	-0.2637464024208	-0.349321876630834	-0.13329963994945
11	oSVZ-3	TRUE	patterning_arealization	153	0.133302796438721	0.312623901546413	0.0684061335072431	-0.116890622864493	0.301744274564992
1	IZ	TRUE	patterning_arealization	283	-0.412326689681731	0.0936685769413068	-0.426277969310665	-0.468020129942532	-0.373785361020509
12	L2/3-V2	TRUE	patterning_arealization	147	-0.277710721714879	0.30483615797133	-0.405164822442609	-0.518880929587379	-0.0812177166348251
16	L2-V1	TRUE	patterning_arealization	113	-0.261903100784719	0.180436033884678	-0.309159062153497	-0.401412952961383	-0.142214607285486
13	SP-V2	TRUE	patterning_arealization	140	-0.162193072845171	0.210653469667278	-0.206450606913728	-0.3003596265072	-0.0587289604899052
18	iSVZ-L	TRUE	patterning_arealization	71	0.55108961645571	0.540553624051633	0.403479627098642	0.227593291552948	0.768605921643623
7	oSVZ-L2	TRUE	progenitor_radial_glia	210	0.36719245167543	0.491055751639557	0.239390479919108	0.0474158541424443	0.506808424079567
17	L3-V1	TRUE	progenitor_radial_glia	87	-0.36440803759831	0.11750721974011	-0.379060571543768	-0.45264465833593	-0.298073722645174
8	L4-V2	TRUE	progenitor_radial_glia	200	-0.200379865574326	0.240426818506732	-0.239798738125083	-0.335786024027629	-0.112420447100758
5	SP-V1	TRUE	progenitor_radial_glia	260	-0.546001128909458	0.0539352030991841	-0.552134049456146	-0.587252143398648	-0.521218048021742
2	oSVZ-1	TRUE	progenitor_radial_glia	282	1.16452225081715	0.921207655224283	0.960436078752644	0.52715416470986	1.54981465338042
3	VZ	TRUE	progenitor_radial_glia	272	1.18361397742772	0.927927769090067	1.04262792141296	0.552894229472498	1.62541552506966
15	L5/6-V2	TRUE	progenitor_radial_glia	119	-0.502496545575204	0.104245718297239	-0.526594972975999	-0.587506936236557	-0.431763181814816
14	UNRESOLVED	FALSE	progenitor_radial_glia	128	-0.60395982914522	0.0375206353737016	-0.61263317756813	-0.63580270734346	-0.585929148801028
0	iSVZ	TRUE	progenitor_radial_glia	307	0.196468809687882	0.467106849115642	0.0550039065392334	-0.0858186961892819	0.310152317504813
4	oSVZ-2	TRUE	progenitor_radial_glia	265	-0.295548438843515	0.195295045624965	-0.327490232606611	-0.432583635867207	-0.187791112584058
6	oSVZ-L1	TRUE	progenitor_radial_glia	234	-0.132202094494603	0.254695644567846	-0.177201029255863	-0.315216432598285	-0.0361859516813563
10	L4-V1	TRUE	progenitor_radial_glia	158	-0.369300692273199	0.113980698884246	-0.38123472226623	-0.449049594401922	-0.312996380654714
9	L5/6-V1	TRUE	progenitor_radial_glia	162	-0.537204443549854	0.054686129463931	-0.543932222361054	-0.570818115867557	-0.508764810077701
11	oSVZ-3	TRUE	progenitor_radial_glia	153	0.366796230133394	0.424278924914308	0.273283980278012	0.077299765761738	0.515589607843543
1	IZ	TRUE	progenitor_radial_glia	283	-0.501242418224947	0.0961336711919139	-0.523037856647491	-0.561946082760214	-0.46186564290409
12	L2/3-V2	TRUE	progenitor_radial_glia	147	-0.450132483207835	0.171560671665817	-0.503548249957821	-0.585443484917068	-0.35766832917612
16	L2-V1	TRUE	progenitor_radial_glia	113	-0.441882562348057	0.0904603049598313	-0.448685191153263	-0.505541910325212	-0.381597992957684
13	SP-V2	TRUE	progenitor_radial_glia	140	-0.26339959005846	0.204795598804124	-0.311588354665689	-0.398982993740805	-0.167676070401521
18	iSVZ-L	TRUE	progenitor_radial_glia	71	0.794665928330191	0.636993830309288	0.642519865513425	0.332788651846569	1.03788731302704
7	oSVZ-L2	TRUE	synaptic_assembly_receptor_trafficking	210	-0.175738976263558	0.253036053190961	-0.236260740385198	-0.336735148279922	-0.0856115369845051
17	L3-V1	TRUE	synaptic_assembly_receptor_trafficking	87	0.978469229941672	0.458477904754075	0.991645608188807	0.67250383212603	1.27707162952103
8	L4-V2	TRUE	synaptic_assembly_receptor_trafficking	200	2.0623021663214	1.21993861442624	1.89074622009486	1.44762163990722	2.31273198059222
5	SP-V1	TRUE	synaptic_assembly_receptor_trafficking	260	-0.326235716598628	0.128192963556473	-0.348594772954003	-0.410731467362936	-0.260733150501856
2	oSVZ-1	TRUE	synaptic_assembly_receptor_trafficking	282	-0.0703702097224253	0.319526938761674	-0.127918389719755	-0.268373057706341	0.0447944012752562
3	VZ	TRUE	synaptic_assembly_receptor_trafficking	272	-0.154251866214205	0.336557064152451	-0.222333731728291	-0.373673764143916	-0.0343253509099449
