profile_index	profile_id	analysis_scope	is_primary_scope	chemical_query	evidence_tier	signature_count	unique_cell_count	neural_lineage_signature_count	axis_name	observed_score	null_mean	null_standard_deviation	empirical_z	empirical_p_upper	empirical_p_lower	empirical_p_two_sided	empirical_p_upper_FDR_within_axis	empirical_p_upper_FDR_within_scope_all_axes	empirical_p_lower_FDR_within_axis	empirical_p_lower_FDR_within_scope_all_axes	empirical_p_two_sided_FDR_within_axis	empirical_p_two_sided_FDR_within_scope_all_axes	maxT_p_upper_within_axis	maxT_p_lower_within_axis	maxT_p_two_sided_within_axis	maxT_p_upper_within_scope_all_axes	maxT_p_lower_within_scope_all_axes	maxT_p_two_sided_within_scope_all_axes	directional_FDR_evidence_class	global_maxT_evidence_class
14	all_cells_cell_balanced|vorinostat	all_cells_cell_balanced	True	vorinostat	Tier_C_program_overlap_dependent	210	22	46	early_program_suppression	0.010521548758518073	0.0295378211713396	0.01610126360230715	-1.1810422388275592	0.8784243151369726	0.1217756448710258	0.2435512897420516	0.9411689090753278	1.0	0.5608878224355129	0.3914217156568686	0.5608878224355129	0.38455466801376564	1.0	0.8190361927614477	0.9726054789042191	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
8	all_cells_cell_balanced|primaquine	all_cells_cell_balanced	True	primaquine	Tier_C_program_overlap_dependent	42	7	0	early_program_suppression	-0.027793124956835984	-0.01779314453615316	0.009336951427958597	-1.0710112929086095	0.8612277544491101	0.13897220555888823	0.27794441111777646	0.9411689090753278	1.0	0.5608878224355129	0.4034676935580626	0.5608878224355129	0.4169166166766647	1.0	0.8732253549290142	0.9870025994801039	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
13	all_cells_cell_balanced|verapamil	all_cells_cell_balanced	True	verapamil	Tier_C_program_overlap_dependent	42	7	0	early_program_suppression	0.020266091783876693	0.027737192561861593	0.007215511282913352	-1.0354222292849566	0.850629874025195	0.14957008598280344	0.2991401719656069	0.9411689090753278	1.0	0.5608878224355129	0.4079184163167367	0.5608878224355129	0.4342357334984616	1.0	0.8874225154969007	0.9918016396720656	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
2	all_cells_cell_balanced|dexamethasone	all_cells_cell_balanced	True	dexamethasone	Tier_D_no_fixed_panel_mechanism	57	9	3	early_program_suppression	0.03130767795500467	0.02359870585399476	0.009572432752285193	0.8053305048468034	0.20755848830233953	0.7926414717056589	0.41511697660467906	0.6226754649070185	0.566068604460926	0.9722055588882224	1.0	0.641871625674865	0.5576198193197182	0.9610077984403119	1.0	0.9998000399920016	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
9	all_cells_cell_balanced|resveratrol	all_cells_cell_balanced	True	resveratrol	Tier_A_global_residual_mechanism	171	21	27	early_program_suppression	0.026883136609993596	0.03139005248770118	0.005757969658529375	-0.7827265763777368	0.7820435912817436	0.21815636872625474	0.4363127374525095	0.9411689090753278	1.0	0.588382323535293	0.5609735195817979	0.641871625674865	0.5774727407459684	1.0	0.9632073585282943	0.9998000399920016	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
11	all_cells_cell_balanced|trichostatin A	all_cells_cell_balanced	True	trichostatin A	Tier_C_program_overlap_dependent	15	5	3	early_program_suppression	0.08971168161592602	0.11375494063086516	0.03353488202971485	-0.7169626836210339	0.7648470305938813	0.23535292941411717	0.47070585882823435	0.9411689090753278	1.0	0.588382323535293	0.5768576014526825	0.641871625674865	0.6012318663027958	1.0	0.9744051189762047	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
10	all_cells_cell_balanced|rifabutin	all_cells_cell_balanced	True	rifabutin	Tier_C_program_overlap_dependent	42	7	0	early_program_suppression	0.02412797977051248	0.01838399448532846	0.00895867093419803	0.6411648923566827	0.2591481703659268	0.7410517896420716	0.5182963407318536	0.647870425914817	0.6478704259148169	0.9722055588882224	1.0	0.6469475335702091	0.6389954885735181	0.9828034393121375	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
7	all_cells_cell_balanced|mitoxantrone	all_cells_cell_balanced	True	mitoxantrone	Tier_C_program_overlap_dependent	345	29	7	early_program_suppression	-0.1356698065206025	-0.12720968835949897	0.014399315066516403	-0.5875361516865729	0.7198560287942412	0.2803439312137572	0.5606878624275144	0.9411689090753278	1.0	0.6007369954580513	0.6639724686641619	0.6469475335702091	0.68191767051995	1.0	0.9882023595280944	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
6	all_cells_cell_balanced|fulvestrant	all_cells_cell_balanced	True	fulvestrant	Tier_D_no_fixed_panel_mechanism	42	7	0	early_program_suppression	0.020464252468750804	0.01718034506404847	0.008369061344981906	0.39238658546473265	0.3573285342931414	0.642871425714857	0.7146570685862828	0.7657040020567315	0.8039892021595682	0.9722055588882224	1.0	0.7657040020567315	0.8039892021595682	0.9976004799040192	1.0	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
5	all_cells_cell_balanced|etoposide	all_cells_cell_balanced	True	etoposide	Tier_A_global_residual_mechanism	57	9	3	early_program_suppression	0.01964465504415877	0.02286116899829649	0.010860637423250002	-0.29616253897325934	0.6142771445710857	0.3859228154369126	0.7718456308738252	0.9411689090753278	1.0	0.7236052789442111	0.8269774616505269	0.7718456308738252	0.841545976518982	1.0	0.9984003199360127	1.0	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
0	all_cells_cell_balanced|camptothecin	all_cells_cell_balanced	True	camptothecin	Tier_A_global_residual_mechanism	42	7	0	injury_stress	0.5590188467943817	0.308413323238492	0.051514099920149145	4.864794763848106	0.0001999600079984003	1.0	0.0003999200159968006	0.0007498500299940011	0.0014997000599880023	1.0	1.0	0.0011997600479904018	0.001894357970511161	0.0003999200159968006	1.0	0.0003999200159968006	0.0005998800239952009	1.0	0.0005998800239952009	positive_FDR_supported	positive_global_maxT_supported
1	all_cells_cell_balanced|daunorubicin	all_cells_cell_balanced	True	daunorubicin	Tier_C_program_overlap_dependent	41	7	0	injury_stress	0.3436004792663312	0.18732494699209928	0.030720940341702096	5.086938437951911	0.0001999600079984003	1.0	0.0003999200159968006	0.0007498500299940011	0.0014997000599880023	1.0	1.0	0.0011997600479904018	0.001894357970511161	0.0003999200159968006	1.0	0.0003999200159968006	0.0003999200159968006	1.0	0.0003999200159968006	positive_FDR_supported	positive_global_maxT_supported
4	all_cells_cell_balanced|doxorubicin	all_cells_cell_balanced	True	doxorubicin	Tier_B_relative_residual_profile	42	7	0	injury_stress	0.3638937741699524	0.2186304780498147	0.02975016710483949	4.882772443201086	0.0001999600079984003	1.0	0.0003999200159968006	0.0007498500299940011	0.0014997000599880023	1.0	1.0	0.0011997600479904018	0.001894357970511161	0.0003999200159968006	1.0	0.0003999200159968006	0.0005998800239952009	1.0	0.0005998800239952009	positive_FDR_supported	positive_global_maxT_supported
5	all_cells_cell_balanced|etoposide	all_cells_cell_balanced	True	etoposide	Tier_A_global_residual_mechanism	57	9	3	injury_stress	0.09387174371310669	0.03823005114123225	0.0129274598116019	4.304147402720073	0.0001999600079984003	1.0	0.0003999200159968006	0.0007498500299940011	0.0014997000599880023	1.0	1.0	0.0011997600479904018	0.001894357970511161	0.0003999200159968006	1.0	0.0003999200159968006	0.0009998000399920016	1.0	0.001999600079984003	positive_FDR_supported	positive_global_maxT_supported
8	all_cells_cell_balanced|primaquine	all_cells_cell_balanced	True	primaquine	Tier_C_program_overlap_dependent	42	7	0	injury_stress	-0.013776990960384053	0.030661629410169554	0.010715403312990335	-4.14717197967532	1.0	0.0001999600079984003	0.0003999200159968006	1.0	1.0	0.0029994001199760045	0.0025709143885508613	0.0011997600479904018	0.001894357970511161	1.0	0.0001999600079984003	0.0007998400319936012	1.0	0.0015996800639872025	0.0033993201359728054	negative_FDR_supported	negative_global_maxT_supported
12	all_cells_cell_balanced|valproic acid	all_cells_cell_balanced	True	valproic acid	Tier_C_program_overlap_dependent	42	7	0	injury_stress	-0.019954850665994336	-0.03973275224857789	0.010757207103885773	1.8385721676251154	0.033393321335732855	0.9668066386722656	0.06678664267146571	0.10017996400719857	0.1252249550089982	1.0	1.0	0.16696660667866428	0.13978599628911426	0.3967206558688262	1.0	0.6076784643071386	0.9188162367526495	1.0	0.9840031993601279	not_FDR_supported	not_global_maxT_supported
13	all_cells_cell_balanced|verapamil	all_cells_cell_balanced	True	verapamil	Tier_C_program_overlap_dependent	42	7	0	injury_stress	-0.05492750160457263	-0.04647400502189994	0.007756317814343222	-1.0898852761087519	0.8624275144971005	0.13777244551089782	0.27554489102179563	0.924029479818322	1.0	1.0	0.4034676935580626	0.5904533379038478	0.4169166166766647	1.0	0.8750249950009998	0.9864027194561088	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
7	all_cells_cell_balanced|mitoxantrone	all_cells_cell_balanced	True	mitoxantrone	Tier_C_program_overlap_dependent	345	29	7	injury_stress	0.33416701311775515	0.31964750093221667	0.015547805282975625	0.9338624919259125	0.1765646870625875	0.823635272945411	0.353129374125175	0.4414117176564687	0.5126071559881572	1.0	1.0	0.662117576484703	0.4965881823635273	0.9276144771045791	1.0	0.996000799840032	1.0	1.0	1.0	not_FDR_supported	not_global_maxT_supported
