virtual_perturbation_component	component_status	TF	testable	reason	OE_value	KO_OE_cosine	dominant_module	dominant_module_KO_shift	dominant_module_OE_shift	donors_opposite_KO_OE	donors_tested	real_KO_module_vector_norm	randomized_GRN_KO_module_vector_norm	real_exceeds_randomized_GRN	CellOracle_reciprocal_support	RFX_shared_nonindependent	condition	module	donor	mean_module_shift	cells	target_TF	control_TF	match_rank	target_mean_expression	control_mean_expression	target_detection_fraction	control_detection_fraction	status	significant_BH
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	BRC2330	0.0548400521549402	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	HDBR15777	0.0890943449595362	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	HDBR15853	0.1055617995456821	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	XDD395	0.1021232029871209	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	XDD424	0.1431841296085354	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	oligodendrocyte_myelination	XDD431	0.1218496077376433	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	BRC2256	-0.0092155939831785	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	BRC2329	-0.0001264484943328	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	BRC2330	-0.0014602346589573	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	HDBR15777	-0.0118687704972367	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	HDBR15853	-0.0106761917825362	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	XDD395	-0.0013038042567319	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	XDD424	-0.001819888588589	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	oligodendrocyte_myelination	XDD431	-0.0058483253805386	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	BRC2256	0.0188370083679625	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	BRC2329	5.8615155214443736e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	BRC2330	0.0005190948497667	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	HDBR15777	0.0219780375320481	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	HDBR15853	0.0205669152577686	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	XDD395	0.0011112514923906	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	XDD424	0.0032945111429524	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	patterning_arealization	XDD431	0.0107983604142526	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	BRC2256	-0.0035547362120985	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	BRC2329	-0.0103353346341256	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	BRC2330	-0.0026596593272429	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	HDBR15777	-0.005803683594711	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	HDBR15853	-0.0081359774925884	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	XDD395	-0.0129752756077741	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	XDD424	-0.029150889988248	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	patterning_arealization	XDD431	-0.0203021816828176	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	BRC2256	0.0093395372639807	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	BRC2329	-4.048700845941343e-06	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	BRC2330	-9.10828285024184e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	HDBR15777	0.0108013153818524	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	HDBR15853	0.0100038903696626	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	XDD395	-3.162968690036923e-05	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	XDD424	0.0015648606764525	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	patterning_arealization	XDD431	0.0052990835520673	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	BRC2256	0.0139885366265346	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	BRC2329	0.0001064504657842	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	BRC2330	0.0011483927434999	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	HDBR15777	0.0164883002536885	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	HDBR15853	0.0152582866245885	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	XDD395	0.001336345962116	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	XDD424	0.0025389867650814	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	progenitor_radial_glia	XDD431	0.0081970248490573	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	BRC2256	-0.0205931863334208	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	BRC2329	-0.0268927092289225	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	BRC2330	-0.0227028769382973	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	HDBR15777	-0.0230327025779014	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	HDBR15853	-0.022478889717412	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	XDD395	-0.0259332748239949	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	XDD424	-0.0429238543598103	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	progenitor_radial_glia	XDD431	-0.0346829699227837	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	BRC2256	0.003702423837849	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	BRC2329	3.95221440184156e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	BRC2330	0.0005981017365512	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	HDBR15777	0.0041046937377887	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	HDBR15853	0.00414128654707	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	XDD395	0.0005738662641497	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	XDD424	0.0007027543572511	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO_RANDOMIZED_GRN	progenitor_radial_glia	XDD431	0.0022197353637912	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	BRC2256	-0.0283401891974667	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	BRC2329	-3.342744962243784e-05	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	BRC2330	-0.0002822800462767	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	HDBR15777	-0.0323083880954763	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	HDBR15853	-0.0302618694529632	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	XDD395	-0.0012492660669297	708.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	XDD424	-0.0048963933198576	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															KO	synaptic_assembly_receptor_trafficking	XDD431	-0.0159351727504084	900.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	synaptic_assembly_receptor_trafficking	BRC2256	0.0385107726492482	879.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	synaptic_assembly_receptor_trafficking	BRC2329	0.0071792829000545	600.0									
CellOracle_donor_module_effects	canonical_rows_present	NKX2-2															OE	synaptic_assembly_receptor_trafficking	BRC2330	0.0064561561884045	600.0									
